dominio,categoria_provisional,certeza,criterio,authority_score_exportado,urls_ejemplo,fuente,accion
metamagic.top,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,14,https://metamagic.top/stats/54031; https://metamagic.top/stats/54030; https://metamagic.top/stats/90295; https://metamagic.top/stats/90294; https://metamagic.top/stats/4632,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
shortenurls.eu,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,14,https://shortenurls.eu/share/54031; https://shortenurls.eu/share/54030; https://shortenurls.eu/share/90294; https://shortenurls.eu/share/4632,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
ecored.org,directorio legítimo,candidato sin legitimar,La etiqueta es un casillero de revisión; comprobar identidad editorial y descartar enlaces automatizados.,12,http://ecored.org/proveedor/GAC---Gestion-Ambiental-Consultores/1541,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
southfwb.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,12,https://www.southfwb.com/all/431/24.html; https://southfwb.com/all/431/24.html; https://southfwb.com/all/1147/8.html; https://southfwb.com/all/1166/21.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
analyticshaven.top,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,6,https://analyticshaven.top/stats/5973; https://analyticshaven.top/stats/5972; https://analyticshaven.top/stats/54030; https://analyticshaven.top/stats/90295; https://analyticshaven.top/stats/90294,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
backlinks-checker.com,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,6,https://backlinks-checker.com/share/54031; https://backlinks-checker.com/share/4632; https://backlinks-checker.com/share/4631; https://backlinks-checker.com/share/4250; https://backlinks-checker.com/share/4249,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
blogsphere.top,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,6,https://blogsphere.top/stats/5973; https://blogsphere.top/stats/54031; https://blogsphere.top/stats/54030; https://blogsphere.top/stats/90294; https://blogsphere.top/stats/4632,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
byteshort.xyz,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,6,https://byteshort.xyz/report/5973; https://byteshort.xyz/report/54031; https://byteshort.xyz/report/54030; https://byteshort.xyz/report/4632; https://byteshort.xyz/report/4631,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
creativeposts.top,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,6,https://creativeposts.top/stats/54031; https://creativeposts.top/stats/90295; https://creativeposts.top/stats/4632; https://creativeposts.top/stats/4631; https://creativeposts.top/stats/4250,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
drjack.world,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,6,https://drjack.world/report/5973; https://drjack.world/report/5972; https://drjack.world/report/54031; https://drjack.world/report/54030; https://drjack.world/report/90295,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
